date,info
2019-07-10 11:33:01.535000+00:00,"{""illuminance"":0,""linkquality"":86,""occupancy"":true}"
2019-07-10 11:33:01.546000+00:00,"{""illuminance"":0,""linkquality"":84,""occupancy"":true}"
2019-07-10 11:34:14.171000+00:00,"{""temperature"":24.2,""linkquality"":94}"
2019-07-10 11:34:14.193000+00:00,"{""temperature"":24.2,""linkquality"":94,""humidity"":64.82}"
2019-07-10 11:34:14.194000+00:00,"{""temperature"":24.2,""linkquality"":94,""humidity"":64.82,""pressure"":1012}"
2019-07-10 11:34:30.642000+00:00,"{""temperature"":24.08,""linkquality"":86,""humidity"":64.82,""pressure"":1012}"
2019-07-10 11:34:30.664000+00:00,"{""temperature"":24.08,""linkquality"":86,""humidity"":58.64,""pressure"":1012}"
2019-07-10 11:34:31.547000+00:00,"{""illuminance"":0,""linkquality"":84,""occupancy"":false}"
2019-07-10 11:34:58.538000+00:00,"{""temperature"":24.06,""linkquality"":99,""humidity"":58.64,""pressure"":1012}"
2019-07-10 11:34:58.573000+00:00,"{""temperature"":24.06,""linkquality"":97,""humidity"":62.4,""pressure"":1012}"
2019-07-10 11:35:01.781000+00:00,"{""temperature"":24.09,""linkquality"":68,""humidity"":62.4,""pressure"":1012}"
2019-07-10 11:35:01.808000+00:00,"{""temperature"":24.09,""linkquality"":70,""humidity"":62.47,""pressure"":1012}"
2019-07-10 11:35:01.809000+00:00,"{""temperature"":24.09,""linkquality"":70,""humidity"":62.47,""pressure"":1012}"
2019-07-10 11:35:32.745000+00:00,"{""state"": ""offline"", ""device"": ""status""}"
2019-08-26 21:22:17.162000+00:00,"{""state"": ""online"", ""device"": ""status""}"
2019-08-26 21:24:52.932000+00:00,"{""illuminance"":3,""linkquality"":34,""occupancy"":false}"
2019-08-26 21:24:52.983000+00:00,"{""illuminance"":3,""linkquality"":36,""occupancy"":true}"
2019-08-26 21:26:22.957000+00:00,"{""illuminance"":3,""linkquality"":36,""occupancy"":false}"
2019-08-26 21:28:04.397000+00:00,"{""illuminance"":0,""linkquality"":36,""occupancy"":false}"
2019-08-26 21:28:04.398000+00:00,"{""illuminance"":0,""linkquality"":36,""occupancy"":true}"
2019-08-26 21:29:34.393000+00:00,"{""illuminance"":0,""linkquality"":36,""occupancy"":false}"
2019-08-26 21:29:44.062000+00:00,"{""illuminance"":0,""linkquality"":21,""occupancy"":false}"
2019-08-26 21:29:44.079000+00:00,"{""illuminance"":0,""linkquality"":15,""occupancy"":true}"
2019-08-26 21:30:51.425000+00:00,"{""illuminance"":0,""linkquality"":5,""occupancy"":true}"
2019-08-26 21:30:51.483000+00:00,"{""illuminance"":0,""linkquality"":5,""occupancy"":true}"
2019-08-26 21:31:06.351000+00:00,"{""temperature"":27.2,""linkquality"":65,""humidity"":86.67,""pressure"":1010.9,""battery"":100,""voltage"":3005}"
2019-08-26 21:31:10.125000+00:00,"{""temperature"":27.44,""linkquality"":0,""humidity"":86.67,""pressure"":1010.9,""battery"":100,""voltage"":3005}"
2019-08-26 21:31:10.170000+00:00,"{""temperature"":27.44,""linkquality"":0,""humidity"":86.88,""pressure"":1010.9,""battery"":100,""voltage"":3005}"
2019-08-26 21:31:13.416000+00:00,"{""temperature"":27.47,""linkquality"":0,""humidity"":86.88,""pressure"":1010,""battery"":100,""voltage"":3005}"
2019-08-26 21:31:13.448000+00:00,"{""temperature"":27.47,""linkquality"":0,""humidity"":82.15,""pressure"":1010,""battery"":100,""voltage"":3005}"
2019-08-26 21:31:13.449000+00:00,"{""temperature"":27.47,""linkquality"":0,""humidity"":82.15,""pressure"":1010,""battery"":100,""voltage"":3005}"
2019-08-26 21:31:16.664000+00:00,"{""temperature"":27.48,""linkquality"":0,""humidity"":82.15,""pressure"":1010,""battery"":100,""voltage"":3005}"
2019-08-26 21:31:16.704000+00:00,"{""temperature"":27.48,""linkquality"":0,""humidity"":80.01,""pressure"":1010,""battery"":100,""voltage"":3005}"
2019-08-26 21:31:26.009000+00:00,"{""temperature"":27.51,""linkquality"":0,""humidity"":80.01,""pressure"":1010,""battery"":100,""voltage"":3005}"
2019-08-26 21:31:26.010000+00:00,"{""temperature"":27.51,""linkquality"":0,""humidity"":73.1,""pressure"":1010,""battery"":100,""voltage"":3005}"
2019-08-26 21:31:26.028000+00:00,"{""temperature"":27.51,""linkquality"":0,""humidity"":73.1,""pressure"":1010,""battery"":100,""voltage"":3005}"
2019-08-26 21:31:41.367000+00:00,"{""temperature"":27.84,""linkquality"":26,""humidity"":73.1,""pressure"":1010,""battery"":100,""voltage"":3005}"
2019-08-26 21:31:41.368000+00:00,"{""temperature"":27.84,""linkquality"":26,""humidity"":67.02,""pressure"":1010,""battery"":100,""voltage"":3005}"
2019-08-26 21:31:41.382000+00:00,"{""temperature"":27.84,""linkquality"":26,""humidity"":67.02,""pressure"":1010,""battery"":100,""voltage"":3005}"
2019-08-26 21:31:47.393000+00:00,"{""contact"":false,""linkquality"":39,""battery"":100,""voltage"":3075}"
2019-08-26 21:31:51.881000+00:00,"{""illuminance"":1,""linkquality"":0,""occupancy"":true}"
