date,info
2019-07-08 14:52:34.118000+00:00,"{""temperature"":28.59,""linkquality"":89,""humidity"":66.86,""pressure"":1012}"
2019-07-08 14:53:19.930000+00:00,"{""occupancy"":false,""linkquality"":94,""battery"":100,""voltage"":3055,""illuminance"":49}"
2019-07-08 14:53:50.943000+00:00,"{""contact"":true,""linkquality"":81}"
2019-07-08 14:53:51.479000+00:00,"{""contact"":false,""linkquality"":89}"
2019-07-08 14:53:52.079000+00:00,"{""contact"":true,""linkquality"":86}"
2019-07-08 14:53:52.405000+00:00,"{""contact"":false,""linkquality"":89}"
2019-07-08 14:54:04.821000+00:00,"{""contact"":true,""linkquality"":73}"
2019-07-08 14:54:27.066000+00:00,"{""state"": ""offline"", ""device"": ""status""}"
2019-07-10 09:44:45.541000+00:00,"{""state"": ""online"", ""device"": ""status""}"
2019-07-10 09:45:43.837000+00:00,"{""occupancy"":false,""linkquality"":89,""battery"":100,""voltage"":3055,""illuminance"":246}"
2019-07-10 09:45:43.860000+00:00,"{""occupancy"":true,""linkquality"":89,""battery"":100,""voltage"":3055,""illuminance"":246}"
2019-07-10 09:45:52.192000+00:00,"{""contact"":false,""linkquality"":94}"
2019-07-10 09:45:52.694000+00:00,"{""contact"":false,""linkquality"":94,""battery"":100,""voltage"":3005}"
2019-07-10 09:45:53.810000+00:00,"{""contact"":true,""linkquality"":92,""battery"":100,""voltage"":3005}"
2019-07-10 09:45:54.303000+00:00,"{""contact"":false,""linkquality"":92,""battery"":100,""voltage"":3005}"
2019-07-10 09:45:56.517000+00:00,"{""contact"":true,""linkquality"":34,""battery"":100,""voltage"":3005}"
2019-07-10 09:45:59.745000+00:00,"{""contact"":true,""linkquality"":102,""battery"":100,""voltage"":3005}"
2019-07-10 09:47:13.848000+00:00,"{""occupancy"":false,""linkquality"":89,""battery"":100,""voltage"":3055,""illuminance"":246}"
2019-07-10 09:47:17.459000+00:00,"{""occupancy"":false,""linkquality"":78,""battery"":100,""voltage"":3055,""illuminance"":116}"
2019-07-10 09:47:17.475000+00:00,"{""occupancy"":true,""linkquality"":84,""battery"":100,""voltage"":3055,""illuminance"":116}"
2019-07-10 09:47:32.172000+00:00,"{""temperature"":28.04,""linkquality"":36,""humidity"":66.86,""pressure"":1012}"
2019-07-10 09:47:32.209000+00:00,"{""temperature"":28.04,""linkquality"":34,""humidity"":73.58,""pressure"":1012}"
2019-07-10 09:47:32.210000+00:00,"{""temperature"":28.04,""linkquality"":36,""humidity"":73.58,""pressure"":1012}"
2019-07-10 09:47:42.426000+00:00,"{""temperature"":28.42,""linkquality"":92,""humidity"":73.58,""pressure"":1012}"
2019-07-10 09:47:42.460000+00:00,"{""temperature"":28.42,""linkquality"":84,""humidity"":62.82,""pressure"":1012}"
2019-07-10 09:47:42.461000+00:00,"{""temperature"":28.42,""linkquality"":84,""humidity"":62.82,""pressure"":1012}"
2019-07-10 09:48:20.484000+00:00,"{""state"": ""offline"", ""device"": ""status""}"
2019-07-13 17:43:46.164000+00:00,"{""state"": ""online"", ""device"": ""status""}"
2019-07-13 18:01:05.672000+00:00,"{""description"": ""Aveiro (Universidade) @ 2019-07-13T17:00"", ""humidity"": 75.0, ""temperature"": 22.9, ""winddirection"": ""Este"", ""windspeed"": 14.0, ""precipitation"": 0.0, ""pressure"": 1015.1}"
2019-07-13 18:45:47.433000+00:00,"{""state"": ""online"", ""device"": ""status""}"
